id,Name,Amount,Unit,groupName,DateBought
17,leek,1.00,stalk of,parsley root,2018-09-08
800,red onions,100.00,grams,parsley root,2018-09-08
564,grated mountain cheese,25.00,grams,Dairy_Products,2018-09-08
999,spaghetti,100.00,grams,Grains_and_Co,2018-09-08
1020,basil,1.00,gram,Herbs_Spices_and_Flavours,2018-09-08
722,dried oregano,0.25,teaspoon of,Herbs_Spices_and_Flavours,2018-09-08
726,dried thyme,0.50,teaspoon of,Herbs_Spices_and_Flavours,2018-09-08
1145,tomato sauce,150.00,grams,Herbs_Spices_and_Flavours,2018-09-09
608,olive oil,1.00, tablespoon of,Oils_Fats,2018-09-09
83,fresh white champignons,75.00,grams,<NA>,2018-09-09
804,yellow peppers,100.00,grams,<NA>,2018-09-09
