"","id","name","unit"
"17",12,"fresh spinach leaves","grams"
"208",12,"fresh spinach leaves","grams"
"223",12,"fresh spinach leaves","grams"
"378",12,"fresh spinach leaves","kilogram"
"39",14,"fresh onion",NA
"52",14,"fresh onion",NA
"72",14,"fresh onion",NA
"84",14,"fresh onion",NA
"143",14,"fresh onion","small"
"153",14,"fresh onion","small"
"216",14,"fresh onion","large"
"278",14,"fresh onion",NA
"304",14,"fresh onion","large"
"314",14,"fresh onions","grams"
"338",14,"fresh onions","grams"
"358",14,"fresh onion",NA
"368",14,"fresh onion",NA
"418",14,"fresh onions","grams"
"11",16,"shallot",NA
"46",16,"shallot",NA
"66",16,"shallot",NA
"323",17,"leek","stalk of"
"426",18,"scallion",NA
"24",19,"fresh garlic","clove of"
"38",19,"fresh garlic","clove of"
"51",19,"fresh garlic","clove of"
"71",19,"fresh garlic","clove of"
"98",19,"fresh garlic","cloves of"
"136",19,"fresh garlic","cloves of"
"178",19,"fresh garlic","clove of"
"203",19,"fresh garlic","cloves of"
"277",19,"fresh garlic","clove of"
"292",19,"fresh garlic","clove of"
"313",19,"fresh garlic","clove of"
"337",19,"fresh garlic","clove of"
"425",19,"fresh garlic","clove of"
"209",20,"garlic powder","teaspoon of"
"291",21,"cauliflower","head of"
"392",21,"cauliflower","grams"
"20",22,"broccoli","head of"
"297",22,"broccoli","head of"
"224",33,"capers","grams"
"16",35,"avocados",NA
"134",37,"cucumber","small"
"256",37,"cucumber",NA
"6",40,"fresh red chili pepper",NA
"36",40,"fresh red chili pepper",NA
"50",40,"fresh red chili pepper",NA
"119",40,"fresh red chili pepper",NA
"176",40,"fresh red chili pepper",NA
"18",41,"fresh tomato",NA
"135",41,"fresh tomato","small"
"367",41,"fresh tomato",NA
"403",41,"fresh tomato",NA
"415",41,"fresh tomato",NA
"424",41,"fresh tomatoes","grams"
"63",43,"canned tomatoes","grams"
"81",43,"canned tomatoes","grams"
"288",43,"canned tomatoes","grams"
"287",49,"canned black beans","grams"
"70",61,"canned chickpeas","grams"
"275",66,"celery","stalk of"
"83",68,"potato",NA
"202",68,"potatoes","small"
"249",68,"potatoes","small"
"259",68,"potato","large"
"276",68,"potatoes","grams"
"303",68,"potato","small"
"312",68,"potato","large"
"417",68,"potato","large"
"233",71,"kohlrabis","grams"
"44",73,"carrots","grams"
"133",73,"carrot","small"
"215",73,"carrots","small"
"241",73,"carrots","small"
"245",73,"carrots","small"
"401",73,"carrots","grams"
"37",81,"sweet potatoes","grams"
"45",81,"sweet potatoes","grams"
"290",81,"sweet potato",NA
"333",83,"fresh white champignons","grams"
"110",114,"apples","grams"
"234",114,"apple","small"
"166",134,"strawberries","grams"
"163",138,"blueberries","grams"
"356",150,"almonds","grams"
"2",156,"lime",NA
"25",156,"lime",NA
"47",156,"lime",NA
"164",156,"lime",NA
"172",158,"lemon",NA
"180",158,"lemon",NA
"111",160,"orange",NA
"85",175,"pomegranate",NA
"3",182,"mango",NA
"165",182,"mango",NA
"370",189,"whole chicken",NA
"26",190,"chicken breast",NA
"86",190,"chicken breasts","grams"
"139",190,"chicken breast","large"
"145",190,"chicken breast","large"
"428",221,"pork belly","kilogram"
"54",241,"minced beef","grams"
"73",241,"minced beef","grams"
"279",241,"minced beef","grams"
"113",266,"lamb chops","grams"
"154",266,"lamb chops","grams"
"382",266,"lamb chop","kilogram"
"100",269,"lamb fillets","grams"
"184",272,"minced lamb","grams"
"7",459,"basmati rice","grams"
"9",485,"quinoa","grams"
"167",485,"quinoa","grams"
"226",485,"quinoa","grams"
"218",523,"whole cow's milk","milliliters"
"349",523,"whole cow's milk","milliliters"
"40",541,"crème fraîche","milliliters"
"236",542,"yoghurt","grams"
"144",546,"whipping cream","milliliters"
"315",564,"grated mountain cheese","grams"
"325",564,"grated mountain cheese","grams"
"339",564,"grated mountain cheese","grams"
"348",564,"grated mountain cheese","grams"
"246",576,"grated cheddar","tablespoons of"
"137",584,"grated parmesan","grams"
"261",584,"grated parmesan","grams"
"126",591,"butter","grams"
"151",591,"butter","tablespoon of"
"357",591,"butter","tablespoon of"
"109",593,"ghee","tablespoon of"
"377",593,"ghee","tablespoon of"
"389",593,"ghee","tablespoon of"
"80",600,"coconut oil","tablespoon of"
"10",608,"olive oil","tablespoon of"
"15",608,"olive oil","milliliters"
"23",608,"olive oil","tablespoon of"
"35",608,"olive oil","teaspoon of"
"43",608,"olive oil","tablespoon of"
"62",608,"olive oil","milliliters"
"69",608,"olive oil","tablespoon of"
"96",608,"olive oil","teaspoon of"
"116",608,"olive oil","tablespoon of"
"142",608,"olive oil","tablespoon of"
"152",608,"olive oil","teaspoon of"
"161",608,"olive oil","tablespoon of"
"175",608,"olive oil","tablespoon of"
"193",608,"olive oil","tablespoons of"
"200",608,"olive oil","tablespoons of"
"214",608,"olive oil","tablespoon of"
"222",608,"olive oil","tablespoon of"
"232",608,"olive oil","tablespoon of"
"244",608,"olive oil","tablespoon of"
"248",608,"olive oil","tablespoon of"
"255",608,"olive oil","tablespoon of"
"258",608,"olive oil","tablespoons of"
"266",608,"olive oil","tablespoons of"
"296",608,"olive oil","tablespoon of"
"302",608,"olive oil","teaspoon of"
"311",608,"olive oil","tablespoon of"
"322",608,"olive oil","tablespoon of"
"332",608,"olive oil","tablespoon of"
"346",608,"olive oil","tablespoon of"
"365",608,"olive oil","tablespoon of"
"423",608,"olive oil","milliliters"
"206",611,"sesame oil","tablespoon of"
"286",612,"sunflower oil","tablespoon of"
"434",612,"sunflower oil","tablespoon of"
"400",613,"soy oil","tablespoon of"
"414",613,"soy oil","tablespoon of"
"207",623,"sesame seeds","tablespoon of"
"194",625,"pine nuts","grams"
"181",634,"chicken egg",NA
"269",634,"chicken egg",NA
"359",634,"chicken eggs",NA
"427",634,"chicken eggs",NA
"263",640,"fresh basil","sprig of"
"4",649,"fresh coriander","sprig of"
"30",649,"fresh coriander","grams"
"89",649,"fresh coriander","grams"
"104",649,"fresh coriander","handful of"
"185",649,"fresh coriander","grams"
"195",649,"fresh coriander","grams"
"227",649,"fresh coriander","grams"
"237",649,"fresh coriander","grams"
"361",649,"fresh coriander","handful of"
"130",655,"fresh mint","leaves of"
"168",655,"fresh mint","sprig of"
"196",655,"fresh mint","grams"
"186",657,"fresh flat-leaf parsley","grams"
"228",657,"fresh flat-leaf parsley","grams"
"307",657,"fresh flat-leaf parsley","leaves of"
"420",657,"fresh flat-leaf parsley","bunch of"
"308",659,"fresh sage","leaves of"
"31",670,"fresh ginger","centimeter"
"105",670,"fresh ginger","centimeters"
"187",670,"fresh ginger","grams"
"204",670,"fresh ginger","small"
"229",670,"fresh ginger","grams"
"372",680,"cumin seeds","teaspoon of"
"394",680,"cumin seeds","teaspoon of"
"409",680,"cumin seeds","teaspoon of"
"147",682,"chili pepper flakes","teaspoon of"
"140",706,"dried basil","tablespoon of"
"157",706,"dried basil","teaspoon of"
"210",706,"dried basil","teaspoon of"
"56",719,"dried bay leaf",NA
"57",722,"dried oregano","tablespoon of"
"318",722,"dried oregano","teaspoon of"
"328",722,"dried oregano","teaspoon of"
"158",724,"dried rosemary","teaspoon of"
"211",724,"dried rosemary","teaspoon of"
"242",724,"dried rosemary","teaspoon of"
"251",724,"dried rosemary","teaspoon of"
"329",726,"dried thyme","teaspoon of"
"342",726,"dried thyme","teaspoon of"
"353",726,"dried thyme","teaspoon of"
"79",727,"yellow curry powder","teaspoon of"
"106",728,"garam masala","teaspoon of"
"362",728,"garam masala","teaspoon of"
"374",728,"garam masala","teaspoon of"
"384",728,"garam masala","teaspoon of"
"396",728,"garam masala","teaspoon of"
"411",728,"garam masala","teaspoon of"
"77",731,"ground ginger","teaspoon of"
"74",732,"curcuma powder","teaspoon of"
"88",732,"curcuma powder","teaspoon of"
"103",732,"curcuma powder","teaspoon of"
"373",732,"curcuma powder","teaspoon of"
"395",732,"curcuma powder","teaspoon of"
"410",732,"curcuma powder","teaspoon of"
"92",733,"ground nutmeg","teaspoon of"
"220",733,"ground nutmeg","pinch of"
"76",735,"ground cinnamon","teaspoon of"
"91",735,"ground cinnamon","teaspoon of"
"190",735,"ground cinnamon","teaspoon of"
"107",736,"ground coriander","teaspoon of"
"284",736,"ground coriander","teaspoon of"
"363",736,"ground coriander","teaspoon of"
"375",736,"ground coriander","teaspoon of"
"385",736,"ground coriander","teaspoon of"
"397",736,"ground coriander","teaspoon of"
